timestamp,trackMode,telSeqId,personCount,personConfidence,faceXPx,faceYPx,faceRadiusPx,angle_err,estimatedDistance,estimatedXPos,estimatedYPos,estimatedZPos,Uyaw,Uz,Ux,Uy,pitch,roll,yaw,vx,vy,vz,tof,batt,temp
17677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,64
17778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,64
17879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,64
17980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,64
18081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,64
18182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,64
18283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
18383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
18484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
18584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
18685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
18786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
18887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
18988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
19089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
19191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
19292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,64
19393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,64
19494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,64
19595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,64
19696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,64
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,64
19900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,64
20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,64
20101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,64
20202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,64
20303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
20404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
20505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
20606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
20707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
20809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
20910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
21011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
21112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
21213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
21314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
21415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
21516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
21617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
21718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
21819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
21920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
22020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
22121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
22222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
22322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
22423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
22524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
22624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
22726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
22827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
22928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
23034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
23135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
23236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
23337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
23437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-20,0,0,0,10,90,65
